기준일,다운로드 시간,Channel,Content,Type,VIDEO_ID,Views,Likes,Comments,업로드일
2026-09-14,9:00,CJ Careers,"[TEAM OLIVE YOUNG : 비하인드 더 프로젝트] 올리브영 이제 월클이다. BTS, 봉준호, 손흥민, 올리브영 Let's Go! 🕺| 올리브영 글로벌 페스타 비하인드",Longform,quOdnXurH7g,466,3,0,2026-07-21
2026-09-14,9:00,CJ Careers,"[TEAM OLIVE YOUNG : 비하인드 더 프로젝트] 올리브영 이제 월클이다. BTS, 봉준호, 손흥민, 올리브영 Let's Go! 🕺| 올리브영 글로벌 페스타 비하인드",Longform,XdsOlPrU0UA,435,2,0,2026-07-21
2026-09-14,9:00,CJ Careers,"[TEAM OLIVE YOUNG : 비하인드 더 프로젝트] 올리브영 이제 월클이다. BTS, 봉준호, 손흥민, 올리브영 Let's Go! 🕺| 올리브영 글로벌 페스타 비하인드",Longform,8byTVWRVQGQ,957,10,0,2026-07-15
2026-09-14,9:00,CJ Careers,"[올리브영.zip] 압축해제ㅣ올리브영 PM들이 건강한 프로덕트를 만드는 방법, 압 축 해 제!",Longform,j28zCJjNqoA,1456,9,0,2026-06-26
2026-09-14,9:00,CJ Careers,[영메이커 CLOSE UP👀✨] 프로덕트센터 궁금해하지마 그거 어떻게 하는건데..😝ㅣCJ올리브영 프로덕트 센터 A to Z 살펴보기,Longform,73_myNoPkEI,1060,9,1,2026-06-26
2026-09-14,9:00,CJ Careers,"[메이킹 필름] 신입 ONLYONES, 카메라 밖에서 전하는 응원 메세지❤️",Longform,zEtO-c5dMJU,4494,18,1,2026-03-26
2026-09-14,9:00,CJ Careers,CJ올리브영 신입사원이 공개하는 채용전형 준비 A to Z | CJ올리브영,Longform,ws_Ej89KVUQ,11615,154,-,2026-03-25
2026-09-14,9:00,CJ Careers,[배요환 셰프님]의 영상통화가 도착했습니다📞 | 2026 CJ그룹 신입사원 모집,Shorts,aQQT9z5KjeE,12629,19,0,2026-03-25
2026-09-14,9:00,CJ Careers,[김호영 배우님]의 영상통화가 도착했습니다📞 | 2026 CJ그룹 신입사원 모집,Shorts,6ZI_ZHqa2f8,16204,30,0,2026-03-25
2026-09-14,9:00,CJ Careers,"CJ에서 만나요✨ | 안녕, ONLYONES👋",Shorts,fcSLgSu8tU0,8046,12,0,2026-03-25
2026-09-14,9:00,HD현대,"[ENG sub] HD테크 | 발전엔진 | 바다에서 검증된 선박 발전용 엔진, AI 전력난의 해법이 되다",Longform,stDRQWkZitc,1072,17,5,2026-09-11
2026-09-14,9:00,HD현대,큰 일하는 큰 회사에서 큰 사람 모십니다 | 2026년 하반기 HD현대 신입사원 채용,Shorts,rCwgA4hfxvE,892969,33,0,2026-09-01
2026-09-14,9:00,HD현대,"팀 K리그팬 vs 맨시티팬, 직장 동료 맞습니다 ⚽️🔥 HD현대 직원들의 2026 쿠팡플레이 시리즈 직관 브이로그 (feat. 피터 빈트)",Longform,B7fw-boQMmc,1950,25,4,2026-08-28
2026-09-14,9:00,HD현대,⚽️축구 꿈나무들에게 찾아온 최고의 하루ㅣ드림플레이어 아이들의 특별한 여름방학 ✨ (feat. 팀 K리그 vs 맨시티 경기 직관),Longform,EyO0PYoSHmU,7015,31,8,2026-08-21
2026-09-14,9:00,HD현대,"단기 성과보다 10년·20년 뒤를 본다, HD현대 사장단 회의",Shorts,m2H15EGD-Y8,2781,38,3,2026-08-14
2026-09-14,9:00,HD현대,무더위 싹 날리는 특급 당 충전 | HD현대가 ROTC 후보생 여러분을 응원 합니다.,Longform,3vLi42bNnr4,13308,36,4,2026-08-14
2026-09-14,9:00,HD현대,태양의 힘을 지상에 구현하는 K-조선,Longform,bb_arqi9QA8,2231,31,4,2026-08-07
2026-09-14,9:00,HD현대,글로벌 태양광 기업들 중 재무 건전성이 가장 높은 기업은 어디일까요?🥇,Longform,yj3m-0qiFe8,2459,14,2,2026-07-30
2026-09-14,9:00,HD현대,"HD현대 MZ봉사단ㅣ벽을 넘어 마음을 칠하다, 가족과 함께 색칠한 특별한 하루",Longform,sP9ZHbJj_Gc,9579,22,7,2026-07-24
